segment_id;machine_translation;reference_or_original;batch_id
232;a play close to the lives of us the same , simple and beautiful head ornaments made her glorious photographs .;Appearance close to life and simple but pretty headwear make her dazzlingly beautiful.;4
233;this is a clear indication of the united nations as a holiday season;This was a clear sign of slow sales in an otherwise busy holiday shopping season in the United States.;1
234;this is a clear indication of the united nations as a holiday season;The numbers symbolized a less than robust spending in festival seasons in America.;2
235;this is a clear indication of the united nations as a holiday season;This was an obvious sign that consumer spending was not strong during the US hot consumer-spending holiday.;3
236;this is a clear indication of the united nations as a holiday season;This is a very apparent mark that the holiday consumption was not hot.;4
237;The 痚 premier call for the nation joint effort to realize the everlasting peace;Sri Lanka's Prime Minister Calls on the People to Work together for Permanent Peace;1
238;The 痚 premier call for the nation joint effort to realize the everlasting peace;Sri Lanka Prime Minster Appeals to Nationals to Strive for Permanent Peace;2
239;The 痚 premier call for the nation joint effort to realize the everlasting peace;Sri Lankan Prime Minister Calls for People's Joint Effort to Realize Lasting Peace;3
240;The 痚 premier call for the nation joint effort to realize the everlasting peace;Sri Lanka PM Calls the Nation to Make Common Efforts to Realize Permanent Peace;4
241;The beautiful Ministry of National Defense cancel twice the guided missile intercept and experiment;US Defense Department Calls off 2 Missile Intercept Tests;1
242;The beautiful Ministry of National Defense cancel twice the guided missile intercept and experiment;U.S. Department of Defense Cancelled Two Missile Intercept Tests;2
243;The beautiful Ministry of National Defense cancel twice the guided missile intercept and experiment;US Defense Department Cancels Two Missile Intercept Tests;3
244;The beautiful Ministry of National Defense cancel twice the guided missile intercept and experiment;US Defense Ministry Canceled Two Missile Interception Tests;4
245;( international ) canada 2 astronauts into space plan will be thwarted;(International)  Planned Space Flights of Two Canadian Astronauts Set Back;1
246;( international ) canada 2 astronauts into space plan will be thwarted;(International) A Setback for the Two Canadian Astronauts to Join Flights;2
247;( international ) canada 2 astronauts into space plan will be thwarted;(International) Two Canadian Astronauts' Space Plan to Be Thwarted;3
248;( international ) canada 2 astronauts into space plan will be thwarted;(International) Plan for Space Travelling of Two Canadian Astronauts will be Frustrated;4
249;approximately has 5% pregnant women can late produce, also is time which is pregnant achieves 294 day.;About 5% of pregnant women go past their term, with a gestational length of 294 days.;1
250;approximately has 5% pregnant women can late produce, also is time which is pregnant achieves 294 day.;About five percent of the expectant mothers experienced a post-term delivery, which is a pregnancy with a length of 294 days or more.;2
251;approximately has 5% pregnant women can late produce, also is time which is pregnant achieves 294 day.;About 5% pregnant women may have prolonged pregnancy, or to say the pregnancy reaches 294 days.;3
252;approximately has 5% pregnant women can late produce, also is time which is pregnant achieves 294 day.;About five percent of births are late, which means a pregnancy lasts 294 days or more.;4
253;Germany January unemployment rate climbs to for five years new is high;Germany's Unemployment Rate in January Climbs to New High in 5 Years;1
254;Germany January unemployment rate climbs to for five years new is high;January Unemployment Surged to Five-Year High in Germany;2
255;Germany January unemployment rate climbs to for five years new is high;German Unemployment Rate in January Hits New High in Five Years;3
256;Germany January unemployment rate climbs to for five years new is high;German Unemployment Surges to 5-Year High in January;4
257;Paraguay exports the beef approximately 60,000 tons every year, mainly exports country and so on Brazil, Chile.;Each year, Paraguay exports about 60,000 tons of beef, mainly to countries such as Brazil and Chile.;1
258;Paraguay exports the beef approximately 60,000 tons every year, mainly exports country and so on Brazil, Chile.;Paraguay exports about 60 thousand tons of beef each year and most of the export go to countries like Brazil and Chile etc.;2
259;Paraguay exports the beef approximately 60,000 tons every year, mainly exports country and so on Brazil, Chile.;Paraguay exports 60,000 tons of beef every year, mainly to countries such as Brazil and Chile.;3
260;Paraguay exports the beef approximately 60,000 tons every year, mainly exports country and so on Brazil, Chile.;Paraguay exports about 60,000 tons of beef every year, mainly to Brazil and Chile.;4
261;In the South Korean-U. S. Military Nearly 3,000 People Was Ordered to Freeze Redeployment;US Freezes Transfer of Nearly 3,000 Troops in South Korea;1
262;In the South Korean-U. S. Military Nearly 3,000 People Was Ordered to Freeze Redeployment;Transfer of Three Thousand U.S. Soldiers in South Korea Frozen;2
263;In the South Korean-U. S. Military Nearly 3,000 People Was Ordered to Freeze Redeployment;Nearly 3,000 US Army in South Korea Ordered to Freeze Transfer;3
264;In the South Korean-U. S. Military Nearly 3,000 People Was Ordered to Freeze Redeployment;Nearly 3000 Troops Stationed in South Korea Are Ordered to Freeze Transfer;4
265;Warheads was carrying the goods, well preserved.;The warhead was tagged and kept in good condition.;1
266;Warheads was carrying the goods, well preserved.;The warhead was tagged and was kept in good condition.;2
267;Warheads was carrying the goods, well preserved.;The warhead was labeled and well preserved.;3
268;Warheads was carrying the goods, well preserved.;The warhead was tagged and secured.;4
269;The report pointed out that, after the revision forecast report also will get rid of deflation the timetable to extend for two years.;The report pointed out the revised outlook also extends the timetable to end deflation by two years.;1
270;The report pointed out that, after the revision forecast report also will get rid of deflation the timetable to extend for two years.;The newspaper report pointed out the revised economic outlook has also extended the timeline for Japan to get out of deflation by two years.;2
271;The report pointed out that, after the revision forecast report also will get rid of deflation the timetable to extend for two years.;The report pointed out that the revised outlook report would also extend the timetable by two years for elimination of deflation.;3
272;The report pointed out that, after the revision forecast report also will get rid of deflation the timetable to extend for two years.;The revised Prospect Report also delays the time table of breaking off deflation for another 2 years.;4
273;The `i wood say : "" the duty of accused have already terminated . "";Kusumoto said: ""The defendants' obligation has expired."";1
274;The `i wood say : "" the duty of accused have already terminated . "";The defendants' obligations had exhausted,"" Kusumoto said.;2
275;The `i wood say : "" the duty of accused have already terminated . "";The defendants' responsibility has expired,"" Kusumoto said.;3
276;The `i wood say : "" the duty of accused have already terminated . "";Nanmu said, ""the obligation of the defendants has been terminated."";4
277;he said the United States and North Korea dialogue should the international arena the multilateral .;He added that dialogs between the United States and North Korea should be conducted multilaterally in an international setting.;1
278;he said the United States and North Korea dialogue should the international arena the multilateral .;He further said that dialogue should be conducted in an international setting with a multilateral approach.;2
279;he said the United States and North Korea dialogue should the international arena the multilateral .;He added that the United States and North Korea should carry out a multilateral talk.;3
280;he said the United States and North Korea dialogue should the international arena the multilateral .;He also said that dialogue should be in an international setting with a multilateral approach.;4
281;we will accelerate drafting telecommunications law , revised postal law and radio management regulations . "";We will accelerate the drafting of telecommunications laws and revise the postal laws and the regulations on wireless telecommunications."";1
282;we will accelerate drafting telecommunications law , revised postal law and radio management regulations . "";We will accelerate the drafting of telecommunications legalization; amend the law of post and the regulations governing wireless telecommunications."";2
283;we will accelerate drafting telecommunications law , revised postal law and radio management regulations . "";We will speed up drawing up a Telecom Law, revising the Postal Law and wireless telecommunication regulations."";3
284;we will accelerate drafting telecommunications law , revised postal law and radio management regulations . "";We will accelerate the drafting of telecommunication law, revising post law and regulations of wireless communication."";4
285;Australia Foreign Minister c North Korea the behavior is bad to will can't obtain more help;Australian Foreign Minister Says North Korea's Bad Behaviors Will not Gain More Aid;1
286;Australia Foreign Minister c North Korea the behavior is bad to will can't obtain more help;Australian Foreign Minister: North Korea's Bad Behavior Could Not Win More Aid;2
287;Australia Foreign Minister c North Korea the behavior is bad to will can't obtain more help;Australian Foreign Minister Says North Korea Will Not Get More Aid For Disgusting Acts;3
288;Australia Foreign Minister c North Korea the behavior is bad to will can't obtain more help;Australian FM: DPRK Cannot Get More Aide for Its Bad Behavior;4
289;The gold 齦 show , surgical operation hour the clear 罭 bleed not much , the doctor use his own blood blood transfusion .;Kanazawa indicated as Akihito did not bleed much during the operation, the doctors used his own blood for transfusion.;1
290;The gold 齦 show , surgical operation hour the clear 罭 bleed not much , the doctor use his own blood blood transfusion .;Kanazawa said Akihito did not lose a lot of blood during the surgery.  Actually, doctors had only used the blood drawn from him for transfusions.;2
291;The gold 齦 show , surgical operation hour the clear 罭 bleed not much , the doctor use his own blood blood transfusion .;Ichiro said that Akihito did not lose much blood during the operation and doctors used his own in blood transfusion.;3
292;The gold 齦 show , surgical operation hour the clear 罭 bleed not much , the doctor use his own blood blood transfusion .;Jinze said, the Emperor had only bleed a little during the operation, and the doctors just used his own blood prepared for the operation.;4
293;face this kind of situation, should close all along adopt strict supervision measure, diligently check to finely examine, take strict precautions currency domestic outflow.;In face of this situation, the customs has always taken tight monitoring measures such as frequent checks and careful inspection so as to effectively prevent the outflow of domestic currencies.;1
294;face this kind of situation, should close all along adopt strict supervision measure, diligently check to finely examine, take strict precautions currency domestic outflow.;Facing a situation like this, the Customs at Luohu have finally adopted strict monitoring measures, including more frequent and more careful checks, in order to keep a sharp eye on possible money drain from China.;2
295;face this kind of situation, should close all along adopt strict supervision measure, diligently check to finely examine, take strict precautions currency domestic outflow.;Facing the situation, the customs has been taking tight monitoring measures to carry out careful checks to prevent the outflow of currencies.;3
296;face this kind of situation, should close all along adopt strict supervision measure, diligently check to finely examine, take strict precautions currency domestic outflow.;Facing this kind of situation, the Luohu Custom always take strict supervising measures, diligently and carefully checks up to prevent currency drain from China to foreign countries.;4
297;for consumer durables expenditure by 6.1 per cent , while for non - durable goods and services expenditure kin only by 0.2 percent .;Spending on durables rose 6.1%, while spending on non-durables and services only increased 0.2%.;1
298;for consumer durables expenditure by 6.1 per cent , while for non - durable goods and services expenditure kin only by 0.2 percent .;That growth included an increase of 6.1 percent in spending on durable goods and a small increase of 0.2 percent in spending on non-durable goods and services.;2
299;for consumer durables expenditure by 6.1 per cent , while for non - durable goods and services expenditure kin only by 0.2 percent .;Spending on durable consumer goods grew by 6.1% while spending on non-durable consumer goods and services grew by only 0.2%.;3
300;for consumer durables expenditure by 6.1 per cent , while for non - durable goods and services expenditure kin only by 0.2 percent .;Expenses on endurable consumables increased 6.1%, and those on unendurable consumables and service increased 0.2% in average.;4
301;North Korea Quit the Nuclear Non-proliferation Treaty and the World as an Enemy;North Korea Withdraws from Nuclear Non-Poliferation Treaty to Defy the Entire World;1
302;North Korea Quit the Nuclear Non-proliferation Treaty and the World as an Enemy;North Korea Withdrew from Nuclear Non-Proliferation Treaty and Becomes a Foe of the World;2
303;North Korea Quit the Nuclear Non-proliferation Treaty and the World as an Enemy;North Korea Quits Nuclear Non-Proliferation Treaty To Become World's Enemy;3
304;North Korea Quit the Nuclear Non-proliferation Treaty and the World as an Enemy;Quitting Nonproliferation Treaty, North Korea to be Enemy of the World;4
305;Last December, the total unemployment population reached 4.225 million people, the unemployment rate is equal to 10.1%.;Last December, the total number of the jobless people reached 4.225 million at an unemployment rate of 10.1%.;1
306;Last December, the total unemployment population reached 4.225 million people, the unemployment rate is equal to 10.1%.;In December last year, the number of unemployed was 4.225 million, which was equivalent to an unemployment rate of 10.1 percent.;2
307;Last December, the total unemployment population reached 4.225 million people, the unemployment rate is equal to 10.1%.;Last December, the total unemployed population reached 4.225 million with an unemployment rate of 10.1%.;3
308;Last December, the total unemployment population reached 4.225 million people, the unemployment rate is equal to 10.1%.;In December, the jobless total had stood at 4.225 million, equivalent to a jobless rate of 10.1 percent.;4
309;well under worker is transport equipment .;At the time, workers underground were moving equipment.;1
310;well under worker is transport equipment .;At time of the accident, the workers were in the pits moving equipment.;2
311;well under worker is transport equipment .;Then workers underground were transporting equipments.;3
312;well under worker is transport equipment .;At the time of explosion, workers were transporting equipment.;4
313;the Turkish allow the United States to study the Turkish base;Turkey Allows US to Inspect Its Bases;1
314;the Turkish allow the United States to study the Turkish base;Turkey Allows U.S. to Inspect Its Military Facilities;2
315;the Turkish allow the United States to study the Turkish base;Turkey Allows US to Inspect Turkish Bases;3
316;the Turkish allow the United States to study the Turkish base;Turkey Allows the US to Examin Turkish Bases;4
317;The rest of the old trees will be planted in the Olympic sports place.;The rest of the old trees will be planted at other Olympic Games venues.;1
318;The rest of the old trees will be planted in the Olympic sports place.;The rest of the mature trees will be replanted in other Olympic competition arenas.;2
319;The rest of the old trees will be planted in the Olympic sports place.;Other old trees would be planted in other Olympic venues.;3
320;The rest of the old trees will be planted in the Olympic sports place.;The rest old trees will be planted in other Olympic venues.;4
321;the japanese central bank decision maintain the existing financial policies;Japan's Central Bank Decides to Keep Current Financial Policies;1
322;the japanese central bank decision maintain the existing financial policies;Bank of Japan Decided to Maintain Existing Monetary Policy;2
323;the japanese central bank decision maintain the existing financial policies;Japan's Central Bank Decides to Maintain Current Financial Policy;3
324;the japanese central bank decision maintain the existing financial policies;Japan's Central Bank Decides to Maintain the Current Financial Policy;4
325;the end of the early morning of 25th the death toll has increased to 261 people and injured 2050 , nihn thuan 8861 .;As of early morning of the 25th, the death toll has risen to 261.  2,050 people were seriously injured; and 8,861 houses collapsed.;1
326;the end of the early morning of 25th the death toll has increased to 261 people and injured 2050 , nihn thuan 8861 .;Up till daybreak of the 25th, the death toll has risen to 261 people, another 2050 seriously wounded and 8861 homes collapsed.;2
327;the end of the early morning of 25th the death toll has increased to 261 people and injured 2050 , nihn thuan 8861 .;The death toll had risen to 261 by early 25th with 2,050 seriously injured and 8,861 houses destroyed.;3
328;the end of the early morning of 25th the death toll has increased to 261 people and injured 2050 , nihn thuan 8861 .;By this morning, the earthquake has claimed 261 lives, injured 2,050 people, and toppled 8,861 houses.;4
329;( international ) britain to attack iraq that led to new york stock market once again falls;(International) NYSE Down Again as US and Britain Submit Proposals for War on Iraq;1
330;( international ) britain to attack iraq that led to new york stock market once again falls;(International) New York Stock Market Fell Again As U.S. and Britain Propose Authorization to Attack Iraq Resolution;2
331;( international ) britain to attack iraq that led to new york stock market once again falls;(International) New York Stock Market Falls Again due to US-British Proposal to Attack Iraq;3
332;( international ) britain to attack iraq that led to new york stock market once again falls;(International) US and UK Suggestion of War on Iraq Triggered Another Decline on New York Stock Market;4
333;( international ) the United States last year individual consume the expenditure increase in bad condition;(International) US Personal Consumption Expenditures Flat Last Year;1
334;( international ) the United States last year individual consume the expenditure increase in bad condition;(International) Poor Growth in U.S. Personal Consumption Expenditures in Last Year;2
335;( international ) the United States last year individual consume the expenditure increase in bad condition;(International) US Consumer Spending Growth Unhealthy;3
336;( international ) the United States last year individual consume the expenditure increase in bad condition;(International) Individual Consumption Growth in the US not Good Last Year;4
337;Among them, at least some 5,000 people are ""the armed regular army"", at the beginning of 2001 then probably have 6,000 people.;At least 5,000 of them are ""armed regulars,"" which were about 6,000 in early 2001.;1
338;Among them, at least some 5,000 people are ""the armed regular army"", at the beginning of 2001 then probably have 6,000 people.;Among them, at least 5 thousand are ""armed regular"" while there were about 6 thousand of them back in 2001.;2
339;Among them, at least some 5,000 people are ""the armed regular army"", at the beginning of 2001 then probably have 6,000 people.;Among them at least 5,000 were ""armed regular troops"" while there were about 6,000 in early 2001.;3
340;Among them, at least some 5,000 people are ""the armed regular army"", at the beginning of 2001 then probably have 6,000 people.;Amongst them, at least 5,000 are ""armed regular army"", which were 6,000 in early 2001.;4
341;This is the seized in the past two years as the largest number of passengers were to leave the country exceeds currency cases.;This was the largest case of a traveler carrying excess cash abroad the customs has uncovered in nearly two years.;1
342;This is the seized in the past two years as the largest number of passengers were to leave the country exceeds currency cases.;That was the most serious case of a tourist carrying cash items in excess of permitted limit at Luohu Customs in two years.;2
343;This is the seized in the past two years as the largest number of passengers were to leave the country exceeds currency cases.;This was the largest currency overflow case by tourists the customs had seized over the past two years.;3
344;This is the seized in the past two years as the largest number of passengers were to leave the country exceeds currency cases.;This is the biggest traveller over carrying currency case that was uncovered by the Luohu Custom in the past 2 years.;4
345;he expresses, this one discovery may guide method which people begins to seek eliminates this kind of memory.;He noted that this finding can put people on track to search for ways of erasing this memory.;1
346;he expresses, this one discovery may guide method which people begins to seek eliminates this kind of memory.;He said the discovery could guide people to find methods to remove this type of memory.;2
347;he expresses, this one discovery may guide method which people begins to seek eliminates this kind of memory.;He said that the finding could lead people to find out ways to eliminate such memory.;3
348;he expresses, this one discovery may guide method which people begins to seek eliminates this kind of memory.;He said that this discovery may lead people to look for ways to eliminate such memories.;4
349;bush vowed to use various means disarming iraq;Bush Vows to Disarm Iraq One Way or the Other;1
350;bush vowed to use various means disarming iraq;Bush Vowed to Use All Means to Disarm Iraq;2
351;bush vowed to use various means disarming iraq;Bush Vows to Disarm Iraq by All Means;3
352;bush vowed to use various means disarming iraq;Bush Vows to Disarm Iraq ""One Way or the Other"";4
353;In addition, the World Health Organization to promote the anti-polio Campaign, the global polio cases from 350,000 in 1988, has been reduced by 2001 the 480.;In addition, the anti-polio campaigns promoted by the World Health Organization have reduced polio cases globally from 350,000 in 1988 to 480 in 2001.;1
354;In addition, the World Health Organization to promote the anti-polio Campaign, the global polio cases from 350,000 in 1988, has been reduced by 2001 the 480.;In addition, the World Health Organization's campaign against infantile paralysis has reduced the number of cases worldwide from 350,000 in 1988 to 480 cases in 2001.;2
355;In addition, the World Health Organization to promote the anti-polio Campaign, the global polio cases from 350,000 in 1988, has been reduced by 2001 the 480.;In addition, the World Health Organization's anti-polio program has reduced polio cases in the world to 480 in 2001 from 350,000 in 1988.;3
356;In addition, the World Health Organization to promote the anti-polio Campaign, the global polio cases from 350,000 in 1988, has been reduced by 2001 the 480.;Besides, the movement against infantile paralysis promoted by WHO have reduced the case to 481 in 2001 from 350,000 in 1988.;4
357;scientists for relating to the initial stage lose chi obstruction of bowels the chromosome completed sequencing;Scientists Complete Sequencing of the Chromosome Linked to Early Dementia;1
358;scientists for relating to the initial stage lose chi obstruction of bowels the chromosome completed sequencing;Scientists Decrypted the Sequence of a Chromosome Crucial to Symptoms of Early Disorders;2
359;scientists for relating to the initial stage lose chi obstruction of bowels the chromosome completed sequencing;Scientists Set Sequence For Chromosome Linked To Early-Stage Low IQ;3
360;scientists for relating to the initial stage lose chi obstruction of bowels the chromosome completed sequencing;Scientists Completed the Study on the Order of Chromosomes Critical to Early Arzhermes Syndrome;4
361;this is so far completed established order of the fourth to chromosome , it from 87 million to remove oxygen ribonucleic acid ( dna ) part .;This is the fourth chromosome whose sequence has been completed to date.  It comprises more than 87 million pairs of DNA.;1
362;this is so far completed established order of the fourth to chromosome , it from 87 million to remove oxygen ribonucleic acid ( dna ) part .;This is the fourth chromosome to be fully sequenced up till now and it comprises of over 87 million pairs of Deoxyribonucleic Acid (DNA).;2
363;this is so far completed established order of the fourth to chromosome , it from 87 million to remove oxygen ribonucleic acid ( dna ) part .;This is so far the fourth chromosome to be fully sequenced, which is made up of over 87 million DNA.;3
364;this is so far completed established order of the fourth to chromosome , it from 87 million to remove oxygen ribonucleic acid ( dna ) part .;They are the 4th pair of chromosomes whose order have been identified. They consist more than 8700 pairs of DNAs.;4
365;report, soil US official can formally sign this document at any moment by 阿纳多卢 Service.;According to the report of Anadolu News Agency, the Turkish and US officials can formally sign this document at any time.;1
366;report, soil US official can formally sign this document at any moment by 阿纳多卢 Service.;According to Anatolia news agency, U.S. officials in Turkey are prepared to officially execute the documents at any time.;2
367;report, soil US official can formally sign this document at any moment by 阿纳多卢 Service.;According to Anatolian News Agency's report, the Turkish and US officials may formally sign the documents at any time.;3
368;report, soil US official can formally sign this document at any moment by 阿纳多卢 Service.;According to report of Anadolu Press Agency, Turkish and US officials can formally sign this document at any time.;4
369;The ? cartel call the the fourth quarter of last year to sell to grow up near thirty percent;Alcatel Says Sales in Fourth Quarter Last Year Grew Nearly 30%;1
370;The ? cartel call the the fourth quarter of last year to sell to grow up near thirty percent;Alcatel: Sales Surged Nearly 30 Percent in the Fourth Quarter of Last Year;2
371;The ? cartel call the the fourth quarter of last year to sell to grow up near thirty percent;Alcatel Says Last Fourth Quarter's Sales Grow Nearly 30%;3
372;The ? cartel call the the fourth quarter of last year to sell to grow up near thirty percent;Alcatel: Growth in the 4th Season Last Year Reach about 30%;4
373;yao ming said : "" all take place it too quickly too has developed rapidly .;Yao Ming said: ""All this is happening too rapidly, too fast.;1
374;yao ming said : "" all take place it too quickly too has developed rapidly .;Everything is happening too rapidly, too fast,"" Yao said.;2
375;yao ming said : "" all take place it too quickly too has developed rapidly .;Yao Ming said: ""Everything happens so fast, too fast.;3
376;yao ming said : "" all take place it too quickly too has developed rapidly .;Everything is happening too rapidly, too fast."" Yao Ming said.;4
377;he said that they will be an appeal .;He said they will file an appeal.;1
378;he said that they will be an appeal .;He said that the plaintiffs would appeal.;2
379;he said that they will be an appeal .;He said that they would appeal to a higher court.;3
380;he said that they will be an appeal .;They would appeal, they said.;4
381;add to promise to also disclose, at this ""Colombia"" number the outer space science that travel experiments mid include two scientific research that is sponsored by Canada.;Garneau also disclosed that the space science experiments aboard Columbia this time included two research projects sponsored by Canada.;1
382;add to promise to also disclose, at this ""Colombia"" number the outer space science that travel experiments mid include two scientific research that is sponsored by Canada.;Garneau also disclosed that among the scientific experiments carried on board the Columbia in its last mission, there were two items sponsored by Canada.;2
383;add to promise to also disclose, at this ""Colombia"" number the outer space science that travel experiments mid include two scientific research that is sponsored by Canada.;Garneau also disclosed that the space experiments aboard the ""Columbia"" included two scientific researches funded by Canada.;3
384;add to promise to also disclose, at this ""Colombia"" number the outer space science that travel experiments mid include two scientific research that is sponsored by Canada.;Garneau also revealed that Canada co-sponsored two of the scientific experiments on board of Columbia.;4
385;Slovak President Left Shanghai Flying Hong Kong;Slovakian President Leaves Shanghai for Hong Kong by Air;1
386;Slovak President Left Shanghai Flying Hong Kong;Slovak President Leaves Shanghai for Hong Kong;2
387;Slovak President Left Shanghai Flying Hong Kong;Slovak President Leaves Shanghai for Hong Kong;3
388;Slovak President Left Shanghai Flying Hong Kong;Slovak President Leave for Hongkong;4
389;by the changes affect the refugees the main scattered in Jordan , Syria and Turkey .;The refugees affected by this change are mainly scattered in Jordan, Syria and Turkey.;1
390;by the changes affect the refugees the main scattered in Jordan , Syria and Turkey .;The change affected refugees scattered in Jordan, Syria and Turkey.;2
391;by the changes affect the refugees the main scattered in Jordan , Syria and Turkey .;Refugees affected by the change are mainly scattered in Jordan, Syria and Turkey.;3
392;by the changes affect the refugees the main scattered in Jordan , Syria and Turkey .;Refugees affected by this change mainly spread around Jordan, Syria and Turkey.;4
393;the same time , together with local people to protest against globalization .;In the meantime, anti-globalization protesters are also gathering here.;1
394;the same time , together with local people to protest against globalization .;Meanwhile, protesters against globalization are also assembling here.;2
395;the same time , together with local people to protest against globalization .;Meanwhile, anti-globalization protesters were also gathering here.;3
396;the same time , together with local people to protest against globalization .;At the same time, protestors against globalization are also gathering here.;4
397;(International) the Austria researcher discovers the initiation chronic ache the spinal cord cell;(International) Austrian Researchers Discover Spinal Marrow Cells that Trigger Chronic Pain;1
398;(International) the Austria researcher discovers the initiation chronic ache the spinal cord cell;(International) Austrian Researchers Found the Spinal Cells Responsible for Chronic Pain;2
399;(International) the Austria researcher discovers the initiation chronic ache the spinal cord cell;(International) Austrian Researchers Find Spinal Cord Cell Causing Chronic Pains;3
400;(International) the Austria researcher discovers the initiation chronic ache the spinal cord cell;(International) Austrian Researchers Discovered Spinal Cord Cells which Cause Chronic Pains;4
401;Australia to Reopen Embassy in Manila;澳洲重新开放驻马尼拉大使馆;5
402;But all this is beyond the control of you. "";不过这一切都由不得你。」;5
403;The circumstance is exactly the opposite . "";情况刚好相反。」;5
404;(Hong-Kong, Macao and Taiwan) inland guest has gradually become Hong Kong gold line main buyer;（港澳台）内地客已渐成香港金行主要买家;5
405;Underground ventilation system has been returned to normal.;井下通风系统已经恢复正常。;5
406;Diplomats will be aboard the plane to return home.;外交人员将搭乘第五架飞机返国。;5
407;The state has stopped importing beef Paraguay.;这些国家已经停止进口巴拉圭牛肉。;5
408;the Albanian another added that the company 's annual income figure announced on February 4 .;阿卡特尔又说，公司的全年收益数字将于二月四日公布。;5
409;Schuster and his party on the 8th at noon on a special plane from Beijing arrived in Shanghai for a visit.;舒斯特一行是于８日中午乘专机从北京抵达上海访问的。;5
410;Hong Kong, Macao and Taiwan (Macao) Adopted a Bill to Avoid Double Taxation;（港澳台）澳门通过法案避免双重课税;5
411;January China's Consumer Prices;１月份中国居民消费价格上涨;5
412;(International) in Cote D'ivoire by French Troops Attack;（国际）驻科特迪瓦法军遭袭击;5
413;Shenzhen Luohu Custom strictly beats the currency smuggles;深圳罗湖海关严厉打击货币走私;5
414;USA restores receives Iraq refugee;美国恢复接收伊拉克难民;5
415;but today people have little knowledge about diseases .;但至今人们对致病原因几乎毫无所知。;5
416;to 21 early morning , disaster relief work has ended .;至２１日凌晨，抢险救灾工作已经结束。;5
417;( international ) chile agree to and sign on the implementation of animals and plants health measures memorandum;（国际）中智签订关于实施动植物卫生措施备忘录;5
418;American most greatly chain-like retail merchant K M A R T hopes to make a profit ahead of time;美国最大连锁零售商ＫＭＡＲＴ可望提前获利;5
419;De Villepin did not disclose the number of troops.;德维尔潘没有透露增援部队的数量。;5
420;The volunteer use the rubber boat to send when ground resident go to store shopping .;志愿者用橡皮艇送当地居民去商店购物。;5
421;We must remain united, insisting that Saddam Hussein's regime disarmament.;「我们必须保持团结，坚持要求海珊的政权解除武装。;5
422;The US Olympic Committee functions were poor, was previously a fierce internal loss and.;美国奥会功能不彰，先前曾出现激烈的内部失和问题。;5
423;At present the Cambodian police still were unable to confirm whether had the personnel casualty.;目前柬警方尚无法证实是否有人员伤亡。;5
424;the united states in 2001 leading aimed at overthrowing the taliban regime in afghanistan military operations around the its embassy in indonesia so faced constant protest activities .;美国于二○○一年主导展开旨在推翻塔利班政权的阿富汗军事行动前后，其驻印尼大使馆便不断面临示威抗议活动。;5
425;powell said : "" we will not lone . this can define .;鲍尔说：「我们不会孤单，这点可以确定。;5
426;the Chinese Red Cross Society the Federation of the donation on telephone 010 - 65,139,999 ( 24 hours on duty );中国红十字总会捐赠电话为０１０－６５１３９９９９（２４小时值班）;5
427;we don't want to do this. 」;我们不想这么做。」;5
428;colombia car bomb caused at least 4 deaths;哥伦比亚汽车炸弹爆炸造成至少４人死亡;5
429;mankind has in total 23 chromosome.;人类共有二十三对染色体。;5
430;pyongyang this month 10 declared secession from the nuclear non - - proliferation treaty release and washington confrontation .;平壤本月十日宣布退出核子非扩散条约，投下和华盛顿对峙的局面。;5
431;European Union recognized a large amount diamond transaction violates the monopoly law;欧盟认定一宗巨额钻石交易违反垄断法;5
432;The United States to use the base of Incirlik, Batman and Diyarbakir, the port is Tasucu, Mersin and Iskenderun.;美国提出使用的３个基地是因吉尔利克、巴特曼和迪亚尔巴克尔，３个海港是塔舒朱、梅尔辛和伊斯肯德伦。;5
433;He said that, ""The telecommunication control optimization has become the telecommunication industry most important question.;他说：「电信管制的优化已成为电信业的最重要问题。;5
434;they are located in southern and south-eastern turkey .;它们都位于土耳其的南部和东南部。;5
435;tibet will comprehensively promote tibet's of socialist material civilization , political and spiritual civilization healthy and coordinated development .;西藏将全面促进西藏的社会主义物质文明、政治文明和精神文明健康、协调发展。;5
436;however , his delegation said the United States will not allow the North Korea to fulfil the existing obligations to provide any reward . );不过，美国代表团强调，美国不会为了让北韩履行现行义务提供任何报酬。」;5
437;but still 23% of infant due to cerebral hemorrhage remain severe brain damage and mental development situation has remained remarkably .;但仍有２３％的婴儿由于脑出血留下严重脑损伤，智力发育情况一直没有改观。;5
438;He said: ""We are slowly but determined to win the confidence of the people,"" he said.;他说：「我们正缓慢但确定的赢回人民的信心。」;5
439;This series of relevant departments have also come out of it.;这套系列片的问世也得到有关部门的肯定。;5
440;the dead china including a a - year - old child , injured , five of whom remain in critical condition .;死者中包括一名一岁儿童，伤者中有５人伤势严重。;5
441;lik actively PlayStation2 to network world;新力积极将PlayStation 2推向网路世界;5
442;The cartel said in a statement that cost-cutting measures are in accordance with the plan.;阿卡特尔发表声明说，削减成本措施正依计画推动。;5
443;Exit Poll, Sharon Led the Party Won Israeli General Elections;出口民调：夏隆领导的联合党赢得以色列大选;5
444;the servant government and Tiger Organise sign in February last year agreement both parties begin to implement formally cease fire.;斯政府和猛虎组织去年二月签署协议双方开始实施正式停火。;5
445;but government officials said that , along with river water constantly declining , the worst has passed .;但政府官员表示，随着河水不断下降，最糟糕的时期已经过去。;5
446;we believe this is a new discoveries .;我们相信这是一项新发现。;5
